year,city,country,avg_temp,glb_avg_temp
1791,Alexandria,Egypt,22.6,8.23
1792,Alexandria,Egypt,20.17,8.09
1793,Alexandria,Egypt,19.94,8.23
1794,Alexandria,Egypt,20.31,8.53
1795,Alexandria,Egypt,20.22,8.35
1796,Alexandria,Egypt,20.39,8.27
1797,Alexandria,Egypt,20.48,8.51
1798,Alexandria,Egypt,20.67,8.67
1799,Alexandria,Egypt,20.66,8.51
1800,Alexandria,Egypt,20.52,8.48
1801,Alexandria,Egypt,20.83,8.59
1802,Alexandria,Egypt,20.94,8.58
1803,Alexandria,Egypt,20.94,8.5
1804,Alexandria,Egypt,20.7,8.84
1805,Alexandria,Egypt,20.35,8.56
1806,Alexandria,Egypt,20.4,8.43
1807,Alexandria,Egypt,20.36,8.28
1808,Alexandria,Egypt,19.69,7.63
1809,Alexandria,Egypt,19.03,7.08
1810,Alexandria,Egypt,19.12,6.92
1811,Alexandria,Egypt,19.19,6.86
1812,Alexandria,Egypt,19.02,7.05
1813,Alexandria,Egypt,19.55,7.74
1814,Alexandria,Egypt,19.5,7.59
1815,Alexandria,Egypt,19.39,7.24
1816,Alexandria,Egypt,18.91,6.94
1817,Alexandria,Egypt,19.08,6.98
1818,Alexandria,Egypt,19.9,7.83
1819,Alexandria,Egypt,19.44,7.37
1820,Alexandria,Egypt,19.73,7.62
1821,Alexandria,Egypt,19.69,8.09
1822,Alexandria,Egypt,19.8,8.19
1823,Alexandria,Egypt,19.82,7.72
1824,Alexandria,Egypt,20.52,8.55
1825,Alexandria,Egypt,20.03,8.39
1826,Alexandria,Egypt,19.96,8.36
1827,Alexandria,Egypt,20.7,8.81
1828,Alexandria,Egypt,20.08,8.17
1829,Alexandria,Egypt,19.98,7.94
1830,Alexandria,Egypt,20.32,8.52
1831,Alexandria,Egypt,19.61,7.64
1832,Alexandria,Egypt,19.23,7.45
1833,Alexandria,Egypt,19.89,8.01
1834,Alexandria,Egypt,19.74,8.15
1835,Alexandria,Egypt,19.23,7.39
1836,Alexandria,Egypt,19.67,7.7
1837,Alexandria,Egypt,19.29,7.38
1838,Alexandria,Egypt,19.3,7.51
1839,Alexandria,Egypt,19.52,7.63
1840,Alexandria,Egypt,19.65,7.8
1841,Alexandria,Egypt,20.08,7.69
1842,Alexandria,Egypt,19.92,8.02
1843,Alexandria,Egypt,19.91,8.17
1844,Alexandria,Egypt,19.77,7.65
1845,Alexandria,Egypt,20.05,7.85
1846,Alexandria,Egypt,20.67,8.55
1847,Alexandria,Egypt,20.17,8.09
1848,Alexandria,Egypt,20,7.98
1849,Alexandria,Egypt,20,7.98
1850,Alexandria,Egypt,19.45,7.9
1851,Alexandria,Egypt,20.21,8.18
1852,Alexandria,Egypt,20.13,8.1
1853,Alexandria,Egypt,20.75,8.04
1854,Alexandria,Egypt,19.75,8.21
1855,Alexandria,Egypt,20.18,8.11
1856,Alexandria,Egypt,19.61,8
1857,Alexandria,Egypt,19.33,7.76
1858,Alexandria,Egypt,19.88,8.1
1859,Alexandria,Egypt,20.04,8.25
1860,Alexandria,Egypt,20.49,7.96
1861,Alexandria,Egypt,19.39,7.85
1862,Alexandria,Egypt,19.43,7.56
1863,Alexandria,Egypt,19.8,8.11
1864,Alexandria,Egypt,20.29,7.98
1865,Alexandria,Egypt,20.59,8.18
1866,Alexandria,Egypt,20.43,8.29
1867,Alexandria,Egypt,20.41,8.44
1868,Alexandria,Egypt,20.03,8.25
1869,Alexandria,Egypt,20.55,8.43
1870,Alexandria,Egypt,20.44,8.2
1871,Alexandria,Egypt,20.05,8.12
1872,Alexandria,Egypt,20.37,8.19
1873,Alexandria,Egypt,20.56,8.35
